Brand,Color,Type,Size,Spinspeed,Rating,No_of_reviews,No_of_Ratings,Price
SAMSUNG,Grey,Semi Automatic Top Load,5.0,1300.0,4.4,332,4317,13990.0
LG,Black,Fully Automatic Top Load,1.0,700.0,4.3,7,79,34990.0
Whirlpool,Grey,Semi Automatic Top Load,1.0,1400.0,4.5,80,977,16990.0
MarQ,Blue,Semi Automatic Top Load,5.0,1350.0,4.3,2380,21723,10590.0
Whirlpool,Grey,Fully Automatic Top Load,5.0,740.0,4.2,1363,19093,16490.0
Whirlpool,Grey,Fully Automatic Front Load,8.0,740.0,5.0,1,6,34990.0
Intex,Grey,Fully Automatic Top Load,5.0,700.0,4.2,315,1795,11990.0
Admiral,White,Semi Automatic Top Load,5.0,1350.0,3.7,0,0,10999.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,700.0,4.3,4479,57726,24990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.1,1230,16409,14990.0
SAMSUNG,Grey,Semi Automatic Top Load,5.0,1300.0,4.4,11,115,13000.0
SAMSUNG,White,Fully Automatic Front Load,5.0,1000.0,4.2,53,637,24990.0
IFB,Grey,Fully Automatic Front Load,6.0,1000.0,4.4,34,261,28690.0
Electrolux,White,Fully Automatic Front Load,8.0,1200.0,4.1,6,25,29990.0
MarQ,White,Semi Automatic Top Load,8.0,1350.0,4.1,3,58,5299.0
Whirlpool,Grey,Fully Automatic Top Load,6.0,740.0,4.2,1363,19093,13790.0
SAMSUNG,Grey,Fully Automatic Top Load,1.0,700.0,4.3,4,54,38952.0
Whirlpool,Grey,Semi Automatic Top Load,6.0,1400.0,4.4,1793,23365,9640.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,1400.0,4.4,1533,17279,42990.0
Whirlpool,Grey,Fully Automatic Top Load,8.0,740.0,4.2,20,151,31990.0
Voltas,White,Fully Automatic Front Load,6.0,1000.0,4.0,96,815,21490.0
MarQ,Grey,Semi Automatic Top Load,9.0,1350.0,4.3,4968,47406,9990.0
IFB,Grey,Fully Automatic Front Load,9.0,1400.0,4.4,197,1879,45490.0
Voltas,White,Fully Automatic Front Load,8.0,1200.0,3.9,25,278,50890.0
SAMSUNG,Black,Fully Automatic Front Load,9.0,1400.0,4.4,1533,17279,39990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.0,13,187,26990.0
IFB,Grey,Fully Automatic Top Load,7.0,720.0,4.7,7,56,22484.0
SAMSUNG,Red,Semi Automatic Top Load,9.0,1300.0,4.3,2363,32304,11790.0
Whirlpool,Grey,Fully Automatic Top Load,5.0,740.0,4.2,1363,19093,16490.0
Whirlpool,Grey,Fully Automatic Front Load,8.0,740.0,5.0,1,6,34990.0
